LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cetona;1/8/2024;"30";"20";"38";"14";"42";"21";"0";"0";"0";"1012";"0";"0";""
Cetona;2/8/2024;"32";"22";"37";"17";"45";"17";"0";"0";"0";"1009";"0";"0";""
Cetona;3/8/2024;"26";"21";"34";"21";"76";"20";"0";"0";"0";"1009";"0";"0";"pioggia temporale "
Cetona;4/8/2024;"27";"18";"35";"17";"64";"19";"0";"0";"0";"1010";"0";"0";""
Cetona;5/8/2024;"28";"20";"37";"13";"44";"21";"0";"0";"0";"1011";"0";"0";""
Cetona;6/8/2024;"29";"21";"37";"17";"50";"20";"0";"21";"0";"1011";"0";"0";""
Cetona;7/8/2024;"29";"21";"36";"17";"53";"20";"0";"0";"0";"1012";"0";"0";""
Cetona;8/8/2024;"29";"21";"37";"16";"51";"19";"0";"0";"0";"1013";"0";"0";""
Cetona;9/8/2024;"32";"22";"37";"15";"38";"20";"0";"0";"0";"1015";"0";"0";""
Cetona;10/8/2024;"31";"22";"39";"15";"43";"20";"0";"0";"0";"1018";"0";"0";""
Cetona;11/8/2024;"31";"22";"39";"15";"42";"22";"0";"0";"0";"1018";"0";"0";""
Cetona;12/8/2024;"31";"21";"39";"15";"42";"21";"0";"0";"0";"1013";"0";"0";""
Cetona;13/8/2024;"29";"22";"38";"16";"51";"21";"1";"35";"0";"1011";"0";"0";"pioggia "
Cetona;14/8/2024;"31";"20";"37";"15";"40";"20";"0";"0";"0";"1012";"0";"0";""
Cetona;15/8/2024;"29";"21";"38";"16";"49";"19";"0";"0";"0";"1015";"0";"0";""
Cetona;16/8/2024;"28";"22";"35";"17";"53";"20";"0";"0";"0";"1016";"0";"0";"pioggia "
Cetona;17/8/2024;"28";"23";"34";"18";"58";"18";"0";"0";"0";"1013";"0";"0";"pioggia temporale "
Cetona;18/8/2024;"22";"19";"30";"18";"79";"18";"0";"0";"0";"1010";"0";"0";"pioggia temporale "
Cetona;19/8/2024;"22";"17";"30";"18";"81";"19";"0";"0";"0";"1007";"0";"0";"pioggia temporale nebbia "
Cetona;20/8/2024;"23";"18";"29";"18";"74";"21";"0";"0";"0";"1010";"0";"0";""
Cetona;21/8/2024;"26";"18";"33";"18";"65";"22";"0";"0";"0";"1011";"0";"0";""
Cetona;22/8/2024;"27";"19";"35";"16";"55";"21";"0";"0";"0";"1012";"0";"0";""
Cetona;23/8/2024;"27";"20";"35";"18";"60";"21";"0";"0";"0";"1014";"0";"0";""
Cetona;24/8/2024;"31";"21";"36";"16";"44";"21";"1";"21";"0";"1017";"0";"0";""
Cetona;25/8/2024;"27";"19";"36";"14";"49";"18";"0";"0";"0";"1015";"0";"0";""
Cetona;26/8/2024;"27";"19";"36";"15";"51";"21";"0";"0";"0";"1013";"0";"0";""
Cetona;27/8/2024;"25";"20";"34";"17";"61";"20";"0";"8";"0";"1015";"0";"0";"pioggia temporale "
Cetona;28/8/2024;"24";"17";"34";"17";"69";"19";"0";"0";"0";"1017";"0";"0";"pioggia temporale "
Cetona;29/8/2024;"25";"18";"36";"17";"65";"22";"0";"0";"0";"1017";"0";"0";""
Cetona;30/8/2024;"27";"18";"35";"15";"55";"20";"0";"0";"0";"1016";"0";"0";""
Cetona;31/8/2024;"28";"19";"35";"13";"44";"20";"0";"0";"0";"1016";"0";"0";""
