LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cetona;1/4/2024;"14";"9";"20";"10";"81";"16";"11";"33";"0";"1007";"0";"0";"pioggia "
Cetona;2/4/2024;"12";"6";"19";"7";"74";"18";"12";"26";"0";"1016";"0";"0";"nebbia "
Cetona;3/4/2024;"11";"4";"17";"6";"77";"19";"8";"22";"0";"1018";"0";"0";""
Cetona;4/4/2024;"13";"5";"20";"9";"76";"20";"8";"18";"0";"1021";"0";"0";""
Cetona;5/4/2024;"14";"6";"22";"9";"77";"20";"6";"15";"0";"1024";"0";"0";""
Cetona;6/4/2024;"14";"6";"23";"9";"76";"18";"5";"9";"0";"1024";"0";"0";""
Cetona;7/4/2024;"15";"5";"25";"9";"71";"20";"6";"17";"0";"1022";"0";"0";""
Cetona;8/4/2024;"17";"8";"26";"11";"73";"20";"5";"11";"0";"1018";"0";"0";""
Cetona;9/4/2024;"16";"9";"23";"10";"70";"21";"9";"24";"0";"1016";"0";"0";""
Cetona;10/4/2024;"15";"11";"19";"8";"65";"20";"12";"30";"0";"1017";"0";"0";""
Cetona;11/4/2024;"13";"5";"20";"9";"79";"21";"14";"28";"0";"1025";"0";"0";""
Cetona;12/4/2024;"18";"9";"26";"11";"67";"20";"14";"21";"0";"1026";"0";"0";""
Cetona;13/4/2024;"18";"9";"28";"11";"70";"21";"10";"18";"0";"1026";"0";"0";""
Cetona;14/4/2024;"18";"8";"27";"11";"68";"20";"8";"17";"0";"1024";"0";"0";""
Cetona;15/4/2024;"16";"7";"24";"9";"70";"22";"10";"30";"0";"1017";"0";"0";""
Cetona;16/4/2024;"17";"11";"22";"9";"62";"19";"15";"31";"0";"1004";"0";"0";""
Cetona;17/4/2024;"11";"6";"17";"6";"73";"21";"13";"24";"0";"1004";"0";"0";"pioggia "
Cetona;18/4/2024;"9";"4";"16";"5";"76";"19";"10";"28";"0";"1007";"0";"0";"pioggia "
Cetona;19/4/2024;"11";"5";"16";"4";"66";"20";"14";"31";"0";"1013";"0";"0";"pioggia "
Cetona;20/4/2024;"8";"5";"13";"5";"82";"19";"9";"21";"0";"1010";"0";"0";"pioggia "
Cetona;21/4/2024;"11";"4";"16";"3";"61";"21";"14";"26";"0";"1012";"0";"0";"pioggia "
Cetona;22/4/2024;"11";"7";"14";"6";"75";"21";"11";"26";"0";"1010";"0";"0";"pioggia "
Cetona;23/4/2024;"9";"4";"13";"6";"82";"21";"11";"26";"0";"1007";"0";"0";"pioggia "
Cetona;24/4/2024;"9";"6";"14";"6";"82";"19";"8";"18";"0";"1006";"0";"0";"pioggia "
Cetona;25/4/2024;"11";"6";"17";"6";"78";"19";"6";"15";"0";"1008";"0";"0";"pioggia "
Cetona;26/4/2024;"12";"8";"16";"9";"85";"20";"7";"22";"0";"1012";"0";"0";"pioggia "
Cetona;27/4/2024;"13";"6";"21";"8";"75";"20";"8";"21";"0";"1015";"0";"0";""
Cetona;28/4/2024;"16";"7";"25";"8";"68";"19";"7";"17";"0";"1018";"0";"0";""
Cetona;29/4/2024;"17";"9";"24";"11";"68";"20";"12";"21";"0";"1019";"0";"0";""
Cetona;30/4/2024;"18";"10";"26";"12";"70";"21";"9";"21";"0";"1016";"0";"0";""
