LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cetona;1/12/2024;"9";"5";"11";"4";"72";"19";"0";"0";"0";"1022";"0";"0";""
Cetona;2/12/2024;"7";"2";"14";"4";"81";"20";"0";"0";"0";"1020";"0";"0";""
Cetona;3/12/2024;"4";"0";"8";"4";"95";"17";"0";"0";"0";"1016";"0";"0";"nebbia "
Cetona;4/12/2024;"8";"6";"11";"6";"85";"17";"0";"0";"0";"1016";"0";"0";"pioggia "
Cetona;5/12/2024;"8";"2";"11";"3";"70";"19";"0";"0";"0";"1020";"0";"0";""
Cetona;6/12/2024;"4";"0";"9";"3";"83";"20";"0";"0";"0";"1017";"0";"0";""
Cetona;7/12/2024;"3";"1";"6";"3";"100";"5";"0";"0";"0";"1012";"0";"0";"pioggia nebbia "
Cetona;8/12/2024;"7";"4";"9";"6";"93";"18";"0";"0";"0";"996";"0";"0";"pioggia "
Cetona;9/12/2024;"6";"5";"8";"5";"94";"20";"0";"0";"0";"1006";"0";"0";"pioggia "
Cetona;10/12/2024;"7";"3";"10";"6";"92";"16";"0";"0";"0";"1014";"0";"0";"pioggia nebbia "
Cetona;11/12/2024;"6";"2";"12";"4";"91";"15";"0";"0";"0";"1021";"0";"0";"nebbia "
Cetona;12/12/2024;"8";"5";"13";"4";"76";"21";"0";"0";"0";"1026";"0";"0";""
Cetona;13/12/2024;"6";"1";"11";"5";"90";"15";"0";"0";"0";"1025";"0";"0";"pioggia "
Cetona;14/12/2024;"8";"6";"10";"8";"97";"14";"0";"0";"0";"1022";"0";"0";"pioggia "
Cetona;15/12/2024;"7";"2";"12";"5";"86";"20";"0";"0";"0";"1024";"0";"0";""
Cetona;16/12/2024;"3";"-1";"10";"2";"89";"18";"0";"0";"0";"1035";"0";"0";""
Cetona;17/12/2024;"4";"-1";"12";"5";"91";"20";"0";"0";"0";"1034";"0";"0";""
Cetona;18/12/2024;"8";"6";"10";"7";"92";"19";"0";"0";"0";"1028";"0";"0";"pioggia "
Cetona;19/12/2024;"10";"8";"12";"9";"92";"12";"0";"0";"0";"1017";"0";"0";"pioggia nebbia "
Cetona;20/12/2024;"8";"4";"13";"6";"88";"20";"1";"26";"0";"1007";"0";"0";"pioggia "
Cetona;21/12/2024;"5";"0";"10";"2";"75";"21";"0";"0";"0";"1021";"0";"0";""
Cetona;22/12/2024;"4";"-2";"11";"6";"86";"21";"1";"26";"0";"1012";"0";"0";"pioggia temporale "
Cetona;23/12/2024;"5";"3";"6";"2";"79";"20";"0";"22";"0";"1001";"0";"0";"pioggia neve "
Cetona;24/12/2024;"7";"4";"10";"1";"57";"20";"2";"33";"0";"1013";"0";"0";"pioggia "
Cetona;25/12/2024;"8";"6";"10";"2";"60";"19";"5";"42";"0";"1023";"0";"0";""
Cetona;26/12/2024;"8";"7";"10";"2";"66";"20";"1";"35";"0";"1027";"0";"0";""
Cetona;27/12/2024;"9";"5";"13";"2";"62";"21";"0";"18";"0";"1029";"0";"0";""
Cetona;28/12/2024;"7";"0";"15";"2";"64";"19";"0";"0";"0";"1026";"0";"0";""
Cetona;29/12/2024;"4";"-2";"13";"1";"75";"20";"0";"0";"0";"1027";"0";"0";""
Cetona;30/12/2024;"3";"-2";"11";"2";"86";"20";"0";"0";"0";"1030";"0";"0";""
Cetona;31/12/2024;"3";"-3";"8";"4";"92";"15";"0";"0";"0";"1033";"0";"0";""
