LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cetona;1/2/2024;"3";"-2";"9";"3";"92";"19";"5";"11";"0";"1029";"0";"0";""
Cetona;2/2/2024;"5";"-3";"17";"2";"78";"13";"8";"17";"0";"1028";"0";"0";"nebbia "
Cetona;3/2/2024;"6";"-1";"16";"2";"72";"21";"6";"13";"0";"1028";"0";"0";""
Cetona;4/2/2024;"6";"0";"13";"5";"87";"21";"4";"9";"0";"1027";"0";"0";""
Cetona;5/2/2024;"7";"0";"12";"6";"91";"12";"5";"17";"0";"1027";"0";"0";"nebbia "
Cetona;6/2/2024;"11";"9";"16";"8";"82";"20";"7";"17";"0";"1024";"0";"0";""
Cetona;7/2/2024;"11";"7";"15";"8";"82";"19";"8";"21";"0";"1016";"0";"0";""
Cetona;8/2/2024;"12";"9";"16";"8";"77";"19";"11";"22";"0";"1012";"0";"0";""
Cetona;9/2/2024;"13";"11";"16";"7";"66";"20";"16";"30";"0";"1006";"0";"0";"pioggia "
Cetona;10/2/2024;"11";"9";"15";"9";"84";"16";"10";"22";"0";"995";"0";"0";"pioggia "
Cetona;11/2/2024;"10";"7";"12";"9";"93";"21";"10";"18";"0";"995";"0";"0";"pioggia "
Cetona;12/2/2024;"8";"4";"13";"7";"94";"19";"4";"9";"0";"1005";"0";"0";"pioggia "
Cetona;13/2/2024;"8";"2";"15";"4";"81";"14";"12";"26";"0";"1016";"0";"0";"nebbia "
Cetona;14/2/2024;"7";"0";"17";"3";"75";"20";"8";"13";"0";"1024";"0";"0";""
Cetona;15/2/2024;"7";"0";"18";"2";"72";"21";"6";"13";"0";"1023";"0";"0";""
Cetona;16/2/2024;"8";"2";"16";"3";"72";"20";"5";"15";"0";"1021";"0";"0";""
Cetona;17/2/2024;"10";"3";"20";"2";"63";"20";"9";"18";"0";"1025";"0";"0";""
Cetona;18/2/2024;"9";"1";"19";"3";"72";"21";"6";"21";"0";"1029";"0";"0";""
Cetona;19/2/2024;"9";"4";"16";"6";"81";"19";"6";"17";"0";"1024";"0";"0";""
Cetona;20/2/2024;"10";"5";"17";"4";"70";"21";"16";"26";"0";"1023";"0";"0";""
Cetona;21/2/2024;"9";"2";"18";"2";"64";"21";"9";"18";"0";"1023";"0";"0";""
Cetona;22/2/2024;"8";"1";"15";"4";"76";"19";"14";"28";"0";"1016";"0";"0";""
Cetona;23/2/2024;"12";"7";"16";"7";"72";"18";"24";"35";"0";"1003";"0";"0";"pioggia "
Cetona;24/2/2024;"8";"2";"14";"5";"84";"20";"9";"28";"0";"1009";"0";"0";"pioggia "
Cetona;25/2/2024;"8";"2";"15";"4";"81";"21";"6";"11";"0";"1010";"0";"0";""
Cetona;26/2/2024;"7";"0";"11";"5";"90";"21";"6";"13";"0";"1007";"0";"0";"pioggia "
Cetona;27/2/2024;"13";"10";"18";"9";"77";"21";"8";"17";"0";"1006";"0";"0";"pioggia "
Cetona;28/2/2024;"13";"10";"17";"9";"76";"21";"19";"33";"0";"1011";"0";"0";"pioggia "
Cetona;29/2/2024;"14";"10";"16";"9";"74";"20";"23";"37";"0";"1008";"0";"0";"pioggia "
