LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cetona;1/1/2024;"10";"5";"13";"8";"90";"20";"8";"24";"0";"1014";"0";"0";"pioggia "
Cetona;2/1/2024;"7";"1";"12";"5";"92";"18";"5";"17";"0";"1017";"0";"0";""
Cetona;3/1/2024;"13";"11";"14";"9";"80";"21";"14";"21";"0";"1012";"0";"0";""
Cetona;4/1/2024;"12";"5";"16";"8";"82";"20";"7";"18";"0";"1012";"0";"0";""
Cetona;5/1/2024;"9";"4";"14";"8";"92";"21";"6";"17";"0";"1009";"0";"0";"pioggia "
Cetona;6/1/2024;"12";"10";"13";"10";"88";"20";"9";"17";"0";"998";"0";"0";"pioggia "
Cetona;7/1/2024;"10";"9";"11";"8";"92";"20";"12";"24";"0";"995";"0";"0";"pioggia "
Cetona;8/1/2024;"9";"6";"10";"4";"73";"20";"22";"33";"0";"1006";"0";"0";"pioggia "
Cetona;9/1/2024;"5";"3";"9";"1";"73";"21";"21";"33";"0";"1018";"0";"0";""
Cetona;10/1/2024;"6";"3";"9";"2";"76";"20";"14";"21";"0";"1023";"0";"0";"pioggia "
Cetona;11/1/2024;"6";"3";"10";"2";"78";"20";"19";"26";"0";"1020";"0";"0";""
Cetona;12/1/2024;"5";"1";"10";"1";"67";"21";"21";"41";"0";"1021";"0";"0";""
Cetona;13/1/2024;"3";"-1";"9";"1";"79";"19";"8";"21";"0";"1022";"0";"0";""
Cetona;14/1/2024;"6";"2";"10";"3";"78";"21";"5";"17";"0";"1014";"0";"0";"pioggia "
Cetona;15/1/2024;"11";"9";"14";"9";"91";"19";"8";"17";"0";"1003";"0";"0";"pioggia "
Cetona;16/1/2024;"11";"6";"16";"9";"86";"20";"7";"18";"0";"1008";"0";"0";"pioggia "
Cetona;17/1/2024;"13";"11";"16";"11";"87";"20";"13";"28";"0";"1006";"0";"0";"pioggia "
Cetona;18/1/2024;"15";"12";"18";"11";"76";"21";"19";"33";"0";"1001";"0";"0";""
Cetona;19/1/2024;"12";"6";"17";"9";"80";"19";"16";"31";"0";"1007";"0";"0";"pioggia "
Cetona;20/1/2024;"5";"3";"7";"1";"58";"20";"27";"39";"0";"1022";"0";"0";""
Cetona;21/1/2024;"5";"1";"10";"0";"51";"19";"18";"30";"0";"1030";"0";"0";""
Cetona;22/1/2024;"2";"-5";"11";"0";"62";"21";"4";"9";"0";"1031";"0";"0";""
Cetona;23/1/2024;"7";"2";"13";"4";"81";"19";"7";"15";"0";"1029";"0";"0";"pioggia "
Cetona;24/1/2024;"4";"-1";"10";"3";"92";"21";"4";"9";"0";"1031";"0";"0";""
Cetona;25/1/2024;"4";"-1";"12";"4";"94";"12";"4";"9";"0";"1026";"0";"0";"nebbia "
Cetona;26/1/2024;"5";"1";"9";"5";"98";"10";"4";"11";"0";"1027";"0";"0";"nebbia "
Cetona;27/1/2024;"9";"5";"19";"6";"82";"15";"8";"18";"0";"1028";"0";"0";"nebbia "
Cetona;28/1/2024;"8";"2";"15";"3";"55";"20";"15";"26";"0";"1034";"0";"0";""
Cetona;29/1/2024;"4";"-5";"14";"0";"63";"20";"5";"18";"0";"1035";"0";"0";""
Cetona;30/1/2024;"2";"-5";"13";"0";"70";"20";"4";"11";"0";"1035";"0";"0";""
Cetona;31/1/2024;"3";"-3";"12";"1";"75";"20";"4";"8";"0";"1033";"0";"0";""
