LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cetona;1/6/2024;"18";"10";"25";"11";"68";"20";"0";"13";"0";"1014";"0";"0";""
Cetona;2/6/2024;"15";"10";"21";"12";"85";"20";"0";"0";"0";"1016";"0";"0";"pioggia "
Cetona;3/6/2024;"17";"12";"22";"13";"83";"20";"0";"0";"0";"1015";"0";"0";"pioggia temporale "
Cetona;4/6/2024;"19";"10";"25";"13";"74";"19";"0";"0";"0";"1015";"0";"0";"nebbia "
Cetona;5/6/2024;"21";"13";"28";"13";"67";"21";"0";"0";"0";"1016";"0";"0";""
Cetona;6/6/2024;"21";"12";"29";"14";"68";"20";"0";"8";"0";"1019";"0";"0";""
Cetona;7/6/2024;"22";"13";"31";"14";"64";"20";"0";"0";"0";"1018";"0";"0";""
Cetona;8/6/2024;"23";"14";"32";"14";"63";"20";"0";"0";"0";"1015";"0";"0";""
Cetona;9/6/2024;"24";"17";"31";"16";"66";"20";"0";"0";"0";"1009";"0";"0";"pioggia "
Cetona;10/6/2024;"22";"19";"26";"17";"71";"20";"1";"17";"0";"1007";"0";"0";"pioggia "
Cetona;11/6/2024;"22";"19";"27";"15";"65";"18";"0";"0";"0";"1011";"0";"0";"pioggia "
Cetona;12/6/2024;"21";"16";"27";"15";"70";"19";"0";"0";"0";"1012";"0";"0";"pioggia "
Cetona;13/6/2024;"19";"15";"24";"13";"68";"20";"0";"0";"0";"1015";"0";"0";"pioggia "
Cetona;14/6/2024;"18";"10";"26";"12";"70";"19";"0";"0";"0";"1018";"0";"0";""
Cetona;15/6/2024;"21";"11";"29";"11";"61";"20";"0";"0";"0";"1014";"0";"0";""
Cetona;16/6/2024;"22";"13";"29";"13";"58";"20";"0";"0";"0";"1013";"0";"0";""
Cetona;17/6/2024;"23";"15";"30";"14";"63";"17";"0";"0";"0";"1017";"0";"0";""
Cetona;18/6/2024;"25";"16";"33";"14";"55";"20";"0";"0";"0";"1018";"0";"0";""
Cetona;19/6/2024;"25";"18";"31";"15";"57";"19";"0";"0";"0";"1018";"0";"0";""
Cetona;20/6/2024;"27";"19";"35";"17";"59";"19";"0";"0";"0";"1019";"0";"0";""
Cetona;21/6/2024;"28";"22";"34";"19";"62";"20";"0";"0";"0";"1016";"0";"0";""
Cetona;22/6/2024;"24";"16";"30";"14";"58";"19";"0";"13";"0";"1013";"0";"0";""
Cetona;23/6/2024;"19";"14";"25";"15";"76";"17";"0";"0";"0";"1011";"0";"0";"pioggia "
Cetona;24/6/2024;"20";"16";"25";"17";"88";"21";"0";"0";"0";"1011";"0";"0";"pioggia temporale "
Cetona;25/6/2024;"23";"17";"28";"15";"68";"19";"0";"0";"0";"1012";"0";"0";"pioggia temporale "
Cetona;26/6/2024;"21";"15";"28";"16";"75";"21";"0";"0";"0";"1012";"0";"0";""
Cetona;27/6/2024;"22";"15";"29";"16";"74";"20";"0";"0";"0";"1013";"0";"0";""
Cetona;28/6/2024;"25";"16";"34";"17";"65";"18";"0";"0";"0";"1017";"0";"0";""
Cetona;29/6/2024;"28";"19";"36";"18";"61";"19";"0";"0";"0";"1017";"0";"0";""
Cetona;30/6/2024;"27";"19";"34";"16";"56";"20";"0";"0";"0";"1013";"0";"0";""
