LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cetona;1/7/2024;"25";"17";"31";"17";"64";"21";"0";"0";"0";"1012";"0";"0";"pioggia "
Cetona;2/7/2024;"24";"19";"29";"16";"65";"19";"0";"0";"0";"1008";"0";"0";""
Cetona;3/7/2024;"21";"17";"29";"16";"75";"19";"0";"8";"0";"1007";"0";"0";"pioggia "
Cetona;4/7/2024;"23";"18";"28";"16";"68";"21";"0";"13";"0";"1010";"0";"0";""
Cetona;5/7/2024;"24";"16";"32";"15";"61";"20";"0";"0";"0";"1015";"0";"0";""
Cetona;6/7/2024;"25";"17";"32";"15";"58";"21";"0";"21";"0";"1014";"0";"0";""
Cetona;7/7/2024;"24";"18";"31";"15";"63";"20";"0";"22";"0";"1013";"0";"0";"pioggia "
Cetona;8/7/2024;"26";"19";"34";"17";"63";"19";"0";"0";"0";"1015";"0";"0";""
Cetona;9/7/2024;"27";"19";"35";"17";"57";"19";"0";"0";"0";"1016";"0";"0";""
Cetona;10/7/2024;"28";"20";"36";"17";"57";"19";"0";"0";"0";"1016";"0";"0";""
Cetona;11/7/2024;"29";"19";"37";"16";"53";"20";"0";"0";"0";"1015";"0";"0";""
Cetona;12/7/2024;"29";"19";"37";"16";"50";"20";"0";"0";"0";"1013";"0";"0";""
Cetona;13/7/2024;"28";"19";"36";"15";"49";"21";"0";"15";"0";"1011";"0";"0";""
Cetona;14/7/2024;"28";"18";"36";"16";"54";"20";"0";"0";"0";"1013";"0";"0";""
Cetona;15/7/2024;"28";"19";"37";"15";"52";"19";"0";"0";"0";"1013";"0";"0";""
Cetona;16/7/2024;"32";"21";"37";"13";"36";"20";"0";"0";"0";"1013";"0";"0";""
Cetona;17/7/2024;"32";"21";"37";"13";"33";"20";"0";"8";"0";"1015";"0";"0";""
Cetona;18/7/2024;"33";"23";"37";"14";"36";"20";"0";"0";"0";"1016";"0";"0";""
Cetona;19/7/2024;"32";"23";"37";"15";"38";"21";"0";"0";"0";"1014";"0";"0";""
Cetona;20/7/2024;"28";"22";"36";"19";"60";"21";"0";"0";"0";"1010";"0";"0";"pioggia "
Cetona;21/7/2024;"28";"20";"36";"18";"62";"18";"0";"0";"0";"1010";"0";"0";"pioggia temporale "
Cetona;22/7/2024;"26";"22";"31";"18";"65";"20";"0";"0";"0";"1011";"0";"0";"pioggia temporale "
Cetona;23/7/2024;"27";"19";"35";"17";"56";"20";"0";"0";"0";"1014";"0";"0";""
Cetona;24/7/2024;"28";"20";"35";"16";"52";"21";"0";"0";"0";"1012";"0";"0";""
Cetona;25/7/2024;"28";"20";"34";"15";"48";"19";"0";"0";"0";"1011";"0";"0";""
Cetona;26/7/2024;"28";"19";"36";"14";"44";"21";"0";"0";"0";"1012";"0";"0";""
Cetona;27/7/2024;"30";"21";"37";"15";"45";"20";"0";"0";"0";"1016";"0";"0";""
Cetona;28/7/2024;"30";"21";"38";"14";"43";"19";"0";"0";"0";"1017";"0";"0";""
Cetona;29/7/2024;"30";"22";"36";"17";"48";"21";"0";"0";"0";"1016";"0";"0";""
Cetona;30/7/2024;"29";"21";"35";"15";"45";"20";"0";"0";"0";"1016";"0";"0";""
Cetona;31/7/2024;"29";"20";"38";"12";"38";"20";"0";"0";"0";"1014";"0";"0";""
