LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cetona;1/5/2024;"15";"13";"18";"14";"89";"21";"9";"21";"0";"1008";"0";"0";"pioggia temporale "
Cetona;2/5/2024;"14";"12";"18";"10";"81";"20";"15";"33";"0";"1010";"0";"0";"pioggia "
Cetona;3/5/2024;"12";"10";"15";"10";"90";"20";"7";"15";"0";"1012";"0";"0";"pioggia "
Cetona;4/5/2024;"13";"8";"19";"11";"84";"20";"4";"11";"0";"1016";"0";"0";""
Cetona;5/5/2024;"15";"7";"22";"9";"73";"18";"8";"17";"0";"1017";"0";"0";""
Cetona;6/5/2024;"16";"7";"23";"10";"72";"20";"7";"15";"0";"1015";"0";"0";""
Cetona;7/5/2024;"15";"10";"19";"12";"83";"20";"7";"21";"0";"1014";"0";"0";"pioggia temporale "
Cetona;8/5/2024;"16";"10";"22";"12";"79";"17";"13";"28";"0";"1015";"0";"0";"pioggia nebbia "
Cetona;9/5/2024;"18";"13";"22";"11";"67";"21";"21";"31";"0";"1016";"0";"0";""
Cetona;10/5/2024;"17";"11";"23";"10";"63";"21";"20";"30";"0";"1017";"0";"0";""
Cetona;11/5/2024;"17";"9";"24";"9";"61";"21";"15";"22";"0";"1018";"0";"0";""
Cetona;12/5/2024;"17";"7";"26";"9";"65";"21";"7";"15";"0";"1018";"0";"0";""
Cetona;13/5/2024;"17";"11";"25";"12";"77";"21";"8";"22";"0";"1016";"0";"0";"pioggia "
Cetona;14/5/2024;"18";"12";"26";"13";"77";"20";"9";"28";"0";"1010";"0";"0";"pioggia "
Cetona;15/5/2024;"20";"12";"27";"14";"70";"20";"0";"0";"0";"1008";"0";"0";""
Cetona;16/5/2024;"20";"0";"27";"14";"72";"21";"0";"0";"0";"1006";"0";"0";""
Cetona;17/5/2024;"19";"9";"25";"11";"66";"22";"0";"0";"0";"1012";"0";"0";""
Cetona;18/5/2024;"18";"9";"26";"10";"66";"19";"0";"0";"0";"1013";"0";"0";""
Cetona;19/5/2024;"17";"11";"23";"14";"82";"21";"0";"0";"0";"1012";"0";"0";"pioggia "
Cetona;20/5/2024;"20";"14";"26";"16";"83";"19";"0";"0";"0";"1009";"0";"0";"pioggia "
Cetona;21/5/2024;"18";"18";"18";"18";"100";"16";"0";"0";"0";"1006";"0";"0";"pioggia temporale "
Cetona;22/5/2024;"17";"12";"23";"14";"84";"21";"0";"0";"0";"1014";"0";"0";"pioggia temporale "
Cetona;23/5/2024;"15";"9";"22";"12";"85";"17";"0";"0";"0";"1018";"0";"0";"pioggia nebbia "
Cetona;24/5/2024;"18";"10";"25";"12";"74";"20";"0";"0";"0";"1019";"0";"0";"pioggia "
Cetona;25/5/2024;"16";"11";"24";"13";"85";"20";"0";"0";"0";"1017";"0";"0";"pioggia temporale "
Cetona;26/5/2024;"17";"10";"25";"12";"78";"17";"0";"0";"0";"1018";"0";"0";"nebbia "
Cetona;27/5/2024;"20";"11";"26";"13";"70";"22";"0";"0";"0";"1017";"0";"0";""
Cetona;28/5/2024;"20";"14";"26";"14";"74";"20";"1";"30";"0";"1015";"0";"0";"pioggia temporale "
Cetona;29/5/2024;"20";"13";"26";"15";"80";"20";"0";"0";"0";"1014";"0";"0";"pioggia "
Cetona;30/5/2024;"18";"13";"23";"15";"84";"20";"0";"0";"0";"1009";"0";"0";"pioggia "
Cetona;31/5/2024;"20";"17";"24";"13";"66";"21";"2";"30";"0";"1006";"0";"0";""
