LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cetona;1/3/2024;"10";"9";"12";"10";"98";"14";"6";"13";"0";"1005";"0";"0";"pioggia "
Cetona;2/3/2024;"11";"9";"14";"10";"92";"16";"8";"21";"0";"1011";"0";"0";"pioggia "
Cetona;3/3/2024;"11";"5";"17";"7";"79";"18";"11";"37";"0";"1008";"0";"0";"pioggia "
Cetona;4/3/2024;"8";"7";"10";"7";"93";"18";"6";"15";"0";"1005";"0";"0";"pioggia "
Cetona;5/3/2024;"12";"6";"17";"8";"82";"21";"9";"15";"0";"1012";"0";"0";"pioggia "
Cetona;6/3/2024;"7";"2";"10";"6";"93";"16";"7";"26";"0";"1015";"0";"0";"pioggia nebbia "
Cetona;7/3/2024;"5";"1";"12";"4";"93";"14";"5";"13";"0";"1017";"0";"0";"pioggia nebbia "
Cetona;8/3/2024;"8";"0";"15";"5";"83";"17";"6";"17";"0";"1015";"0";"0";"pioggia "
Cetona;9/3/2024;"11";"8";"14";"9";"90";"19";"7";"17";"0";"1010";"0";"0";"pioggia "
Cetona;10/3/2024;"11";"9";"17";"10";"91";"18";"11";"31";"0";"1004";"0";"0";"pioggia temporale "
Cetona;11/3/2024;"9";"8";"12";"9";"99";"18";"5";"13";"0";"1006";"0";"0";"pioggia "
Cetona;12/3/2024;"9";"4";"15";"7";"87";"19";"6";"15";"0";"1013";"0";"0";"pioggia "
Cetona;13/3/2024;"9";"3";"17";"6";"86";"19";"6";"13";"0";"1017";"0";"0";""
Cetona;14/3/2024;"10";"3";"18";"5";"76";"21";"7";"13";"0";"1018";"0";"0";""
Cetona;15/3/2024;"11";"4";"16";"7";"81";"21";"6";"11";"0";"1019";"0";"0";"pioggia "
Cetona;16/3/2024;"11";"8";"15";"10";"93";"19";"4";"11";"0";"1020";"0";"0";"pioggia "
Cetona;17/3/2024;"11";"6";"18";"9";"90";"13";"5";"11";"0";"1022";"0";"0";"nebbia "
Cetona;18/3/2024;"12";"9";"14";"12";"97";"21";"4";"9";"0";"1016";"0";"0";"pioggia "
Cetona;19/3/2024;"14";"10";"19";"8";"72";"19";"17";"26";"0";"1016";"0";"0";"pioggia "
Cetona;20/3/2024;"13";"5";"21";"5";"63";"20";"7";"17";"0";"1021";"0";"0";""
Cetona;21/3/2024;"13";"5";"21";"8";"76";"20";"9";"18";"0";"1022";"0";"0";"pioggia "
Cetona;22/3/2024;"14";"10";"20";"10";"78";"20";"10";"18";"0";"1018";"0";"0";"pioggia "
Cetona;23/3/2024;"13";"5";"19";"9";"80";"17";"13";"31";"0";"1014";"0";"0";""
Cetona;24/3/2024;"13";"6";"17";"7";"70";"19";"14";"30";"0";"1008";"0";"0";""
Cetona;25/3/2024;"10";"2";"17";"4";"68";"19";"7";"13";"0";"1007";"0";"0";""
Cetona;26/3/2024;"11";"8";"14";"9";"90";"19";"9";"17";"0";"999";"0";"0";"pioggia "
Cetona;27/3/2024;"11";"6";"14";"10";"96";"19";"10";"31";"0";"997";"0";"0";"pioggia "
Cetona;28/3/2024;"14";"7";"17";"10";"79";"19";"23";"46";"0";"1006";"0";"0";"pioggia "
Cetona;29/3/2024;"17";"11";"22";"10";"67";"20";"13";"24";"0";"1013";"0";"0";""
Cetona;30/3/2024;"16";"7";"23";"7";"61";"22";"12";"33";"0";"1008";"0";"0";""
Cetona;31/3/2024;"17";"10";"21";"11";"67";"19";"14";"30";"0";"1008";"0";"0";""
