LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cetona;1/11/2024;"13";"8";"22";"10";"83";"19";"0";"0";"0";"1025";"0";"0";""
Cetona;2/11/2024;"12";"5";"20";"9";"88";"20";"0";"0";"0";"1023";"0";"0";""
Cetona;3/11/2024;"12";"5";"21";"9";"86";"16";"0";"0";"0";"1025";"0";"0";"nebbia "
Cetona;4/11/2024;"11";"5";"20";"9";"88";"19";"0";"0";"0";"1025";"0";"0";"nebbia "
Cetona;5/11/2024;"10";"4";"17";"8";"87";"21";"0";"0";"0";"1025";"0";"0";"nebbia "
Cetona;6/11/2024;"9";"3";"17";"8";"90";"17";"0";"0";"0";"1027";"0";"0";"nebbia "
Cetona;7/11/2024;"10";"4";"19";"8";"88";"16";"0";"0";"0";"1028";"0";"0";"nebbia "
Cetona;8/11/2024;"11";"5";"19";"9";"89";"13";"0";"0";"0";"1026";"0";"0";"nebbia "
Cetona;9/11/2024;"11";"6";"19";"9";"89";"12";"0";"0";"0";"1024";"0";"0";"nebbia "
Cetona;10/11/2024;"10";"5";"18";"7";"86";"12";"0";"0";"0";"1021";"0";"0";"nebbia "
Cetona;11/11/2024;"11";"6";"16";"6";"74";"20";"0";"0";"0";"1021";"0";"0";""
Cetona;12/11/2024;"10";"4";"15";"6";"75";"20";"0";"0";"0";"1019";"0";"0";""
Cetona;13/11/2024;"10";"6";"15";"5";"72";"20";"0";"0";"0";"1020";"0";"0";""
Cetona;14/11/2024;"7";"4";"9";"5";"89";"19";"0";"0";"0";"1020";"0";"0";"pioggia "
Cetona;15/11/2024;"9";"6";"13";"3";"71";"20";"0";"0";"0";"1021";"0";"0";""
Cetona;16/11/2024;"8";"2";"15";"4";"80";"19";"0";"0";"0";"1021";"0";"0";""
Cetona;17/11/2024;"8";"1";"12";"6";"90";"19";"0";"0";"0";"1017";"0";"0";""
Cetona;18/11/2024;"12";"7";"18";"10";"87";"19";"0";"0";"0";"1013";"0";"0";""
Cetona;19/11/2024;"13";"8";"17";"10";"86";"20";"0";"0";"0";"1011";"0";"0";""
Cetona;20/11/2024;"14";"8";"17";"10";"79";"20";"1";"35";"0";"1001";"0";"0";"pioggia "
Cetona;21/11/2024;"8";"2";"14";"5";"81";"21";"4";"42";"0";"1005";"0";"0";"pioggia "
Cetona;22/11/2024;"12";"2";"16";"9";"63";"20";"3";"46";"0";"1002";"0";"0";"pioggia temporale "
Cetona;23/11/2024;"3";"-2";"12";"0";"70";"21";"0";"0";"0";"1028";"0";"0";""
Cetona;24/11/2024;"3";"-2";"10";"3";"83";"20";"0";"0";"0";"1034";"0";"0";""
Cetona;25/11/2024;"5";"-1";"10";"5";"89";"19";"0";"0";"0";"1029";"0";"0";"pioggia "
Cetona;26/11/2024;"11";"8";"17";"9";"91";"19";"0";"0";"0";"1023";"0";"0";""
Cetona;27/11/2024;"14";"11";"18";"11";"86";"20";"0";"0";"0";"1023";"0";"0";""
Cetona;28/11/2024;"13";"10";"17";"11";"92";"15";"0";"0";"0";"1023";"0";"0";"nebbia "
Cetona;29/11/2024;"11";"7";"15";"7";"75";"20";"0";"0";"0";"1023";"0";"0";"pioggia "
Cetona;30/11/2024;"8";"4";"10";"3";"70";"21";"0";"0";"0";"1025";"0";"0";"pioggia "
