LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cetona;1/10/2024;"17";"11";"23";"13";"77";"19";"0";"0";"0";"1017";"0";"0";""
Cetona;2/10/2024;"19";"16";"24";"15";"78";"19";"0";"22";"0";"1010";"0";"0";"pioggia "
Cetona;3/10/2024;"17";"15";"20";"16";"96";"15";"0";"0";"0";"1002";"0";"0";"pioggia "
Cetona;4/10/2024;"16";"13";"20";"12";"81";"20";"0";"0";"0";"1006";"0";"0";"pioggia temporale "
Cetona;5/10/2024;"15";"12";"18";"12";"85";"18";"0";"0";"0";"1011";"0";"0";"pioggia "
Cetona;6/10/2024;"14";"8";"20";"11";"84";"19";"0";"0";"0";"1014";"0";"0";"nebbia "
Cetona;7/10/2024;"15";"13";"18";"13";"88";"20";"0";"0";"0";"1017";"0";"0";"pioggia "
Cetona;8/10/2024;"17";"12";"22";"15";"91";"18";"0";"0";"0";"1012";"0";"0";"pioggia "
Cetona;9/10/2024;"19";"17";"23";"15";"77";"21";"0";"0";"0";"1010";"0";"0";"pioggia "
Cetona;10/10/2024;"20";"15";"24";"15";"73";"21";"2";"33";"0";"1005";"0";"0";""
Cetona;11/10/2024;"15";"9";"22";"12";"82";"20";"0";"0";"0";"1012";"0";"0";""
Cetona;12/10/2024;"15";"9";"22";"11";"83";"20";"0";"0";"0";"1018";"0";"0";""
Cetona;13/10/2024;"16";"12";"22";"12";"81";"22";"0";"0";"0";"1020";"0";"0";""
Cetona;14/10/2024;"16";"10";"23";"13";"82";"20";"0";"0";"0";"1021";"0";"0";"nebbia "
Cetona;15/10/2024;"17";"11";"24";"14";"84";"19";"0";"0";"0";"1020";"0";"0";"pioggia nebbia "
Cetona;16/10/2024;"17";"13";"20";"15";"94";"20";"0";"0";"0";"1021";"0";"0";"pioggia "
Cetona;17/10/2024;"19";"15";"24";"17";"88";"18";"0";"0";"0";"1020";"0";"0";"pioggia nebbia "
Cetona;18/10/2024;"19";"16";"23";"16";"87";"19";"0";"0";"0";"1017";"0";"0";"pioggia "
Cetona;19/10/2024;"18";"16";"21";"17";"94";"17";"0";"0";"0";"1014";"0";"0";"pioggia "
Cetona;20/10/2024;"19";"16";"24";"16";"85";"14";"0";"13";"0";"1020";"0";"0";"nebbia "
Cetona;21/10/2024;"19";"16";"24";"15";"79";"19";"0";"0";"0";"1027";"0";"0";""
Cetona;22/10/2024;"19";"15";"24";"16";"86";"20";"0";"0";"0";"1027";"0";"0";"pioggia "
Cetona;23/10/2024;"17";"15";"18";"17";"99";"19";"0";"0";"0";"1028";"0";"0";"pioggia nebbia "
Cetona;24/10/2024;"18";"17";"20";"17";"97";"19";"0";"0";"0";"1027";"0";"0";"pioggia "
Cetona;25/10/2024;"17";"16";"20";"16";"95";"20";"0";"0";"0";"1024";"0";"0";"pioggia "
Cetona;26/10/2024;"18";"14";"22";"16";"90";"19";"0";"0";"0";"1022";"0";"0";""
Cetona;27/10/2024;"17";"13";"22";"15";"92";"17";"0";"0";"0";"1023";"0";"0";"nebbia "
Cetona;28/10/2024;"16";"13";"22";"14";"89";"19";"0";"0";"0";"1026";"0";"0";""
Cetona;29/10/2024;"15";"11";"22";"14";"92";"17";"0";"0";"0";"1025";"0";"0";"nebbia "
Cetona;30/10/2024;"14";"11";"19";"13";"93";"16";"0";"0";"0";"1024";"0";"0";"nebbia "
Cetona;31/10/2024;"15";"8";"23";"10";"77";"19";"0";"0";"0";"1024";"0";"0";""
