LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cetona;1/9/2024;"27";"19";"35";"14";"47";"21";"0";"0";"0";"1015";"0";"0";""
Cetona;2/9/2024;"27";"20";"34";"15";"49";"21";"0";"0";"0";"1014";"0";"0";"pioggia temporale "
Cetona;3/9/2024;"24";"18";"33";"15";"59";"21";"0";"21";"0";"1016";"0";"0";""
Cetona;4/9/2024;"24";"18";"33";"16";"66";"18";"0";"0";"0";"1014";"0";"0";"pioggia temporale "
Cetona;5/9/2024;"23";"18";"30";"18";"77";"19";"1";"28";"0";"1010";"0";"0";"pioggia "
Cetona;6/9/2024;"23";"17";"30";"17";"74";"20";"0";"0";"0";"1013";"0";"0";""
Cetona;7/9/2024;"24";"17";"33";"16";"65";"18";"0";"0";"0";"1016";"0";"0";""
Cetona;8/9/2024;"26";"20";"33";"18";"66";"19";"0";"17";"0";"1013";"0";"0";"pioggia "
Cetona;9/9/2024;"24";"19";"28";"17";"69";"19";"0";"0";"0";"1004";"0";"0";""
Cetona;10/9/2024;"22";"16";"29";"13";"64";"20";"0";"15";"0";"1009";"0";"0";""
Cetona;11/9/2024;"21";"13";"29";"13";"66";"22";"0";"0";"0";"1009";"0";"0";""
Cetona;12/9/2024;"20";"15";"24";"16";"77";"18";"2";"33";"0";"1006";"0";"0";"pioggia "
Cetona;13/9/2024;"15";"11";"19";"11";"80";"20";"0";"0";"0";"1006";"0";"0";"pioggia temporale "
Cetona;14/9/2024;"15";"7";"22";"7";"66";"20";"0";"0";"0";"1013";"0";"0";""
Cetona;15/9/2024;"17";"10";"24";"10";"63";"20";"0";"0";"0";"1013";"0";"0";""
Cetona;16/9/2024;"18";"13";"24";"9";"59";"19";"0";"0";"0";"1011";"0";"0";""
Cetona;17/9/2024;"16";"14";"19";"11";"75";"20";"0";"0";"0";"1012";"0";"0";"pioggia "
Cetona;18/9/2024;"18";"15";"22";"14";"78";"20";"0";"0";"0";"1014";"0";"0";"pioggia "
Cetona;19/9/2024;"17";"13";"21";"13";"84";"19";"0";"0";"0";"1014";"0";"0";"nebbia "
Cetona;20/9/2024;"18";"12";"25";"13";"76";"18";"0";"0";"0";"1017";"0";"0";"pioggia "
Cetona;21/9/2024;"19";"13";"26";"13";"71";"21";"0";"0";"0";"1020";"0";"0";""
Cetona;22/9/2024;"19";"13";"25";"14";"73";"22";"0";"0";"0";"1018";"0";"0";""
Cetona;23/9/2024;"20";"16";"25";"16";"77";"21";"0";"0";"0";"1013";"0";"0";"pioggia temporale "
Cetona;24/9/2024;"20";"15";"24";"16";"81";"20";"0";"0";"0";"1013";"0";"0";"pioggia nebbia "
Cetona;25/9/2024;"19";"16";"25";"16";"84";"20";"0";"0";"0";"1016";"0";"0";"pioggia "
Cetona;26/9/2024;"21";"17";"26";"17";"78";"20";"1";"26";"0";"1015";"0";"0";""
Cetona;27/9/2024;"23";"19";"27";"17";"71";"19";"0";"0";"0";"1011";"0";"0";""
Cetona;28/9/2024;"19";"12";"23";"13";"71";"19";"0";"0";"0";"1013";"0";"0";"pioggia "
Cetona;29/9/2024;"15";"10";"21";"8";"69";"20";"0";"0";"0";"1022";"0";"0";""
Cetona;30/9/2024;"15";"8";"23";"8";"68";"21";"0";"0";"0";"1021";"0";"0";""
