Prodotto,Date,ProductionVolume
MEDICA,2024-07-31,278
MEDICA,2024-05-17,127
MEDICA,2024-05-01,42
FRUMENTO TENERO,2024-07-27,3222
GIRASOLE,2024-09-16,30
GIRASOLE,2024-09-06,428
MEDICA,2024-08-28,30
FRUMENTO DURO,2024-07-02,47
GIRASOLE,2024-09-25,84
FRUMENTO TENERO,2024-07-22,2705
MEDICA,2024-08-07,125
MAIS,2024-10-03,1690
ORZO,2024-07-27,467
FRUMENTO TENERO,2024-07-16,994
GIRASOLE,2024-09-21,185
MEDICA,2024-05-08,128
ORZO,2024-07-28,11
MAIS,2024-11-25,754
MAIS,2024-11-20,427
COLZA,2024-06-20,67
ORZO,2024-07-13,171
ORZO,2024-07-15,99
COLZA,2024-06-06,71
GIRASOLE,2024-09-01,4
COLZA,2024-05-30,64
ORZO,2024-07-22,25
MAIS,2024-10-23,37
MAIS,2024-11-11,231
ORZO,2024-07-14,75
GIRASOLE,2024-09-02,86
MEDICA,2024-06-23,43
FRUMENTO TENERO,2024-07-12,1001
FRUMENTO DURO,2024-07-11,12
COLZA,2024-06-04,48
FRUMENTO TENERO,2024-07-26,156
MAIS,2024-10-16,230
ORZO,2024-07-11,50
FRUMENTO DURO,2024-07-28,14
COLZA,2024-06-21,24
COLZA,2024-06-22,12
FRUMENTO DURO,2024-07-17,12
GIRASOLE,2024-09-05,16
MEDICA,2024-06-23,60
FRUMENTO TENERO,2024-07-04,485
FRUMENTO TENERO,2024-07-10,444
ORZO,2024-07-07,3
FRUMENTO TENERO,2024-07-08,50
ORZO,2024-07-18,25
GIRASOLE,2024-09-24,10
FRUMENTO TENERO,2024-07-03,275
ORZO,2024-07-17,13
COLZA,2024-06-14,1
FRUMENTO TENERO,2024-07-08,105
MAIS,2024-11-02,52
ORZO,2024-07-02,2
FRUMENTO DURO,2024-07-19,22
MAIS,2024-10-06,22
FRUMENTO DURO,2024-07-03,3
COLZA,2024-06-17,6
FRUMENTO TENERO,2024-07-17,40
COLZA,2024-06-02,0
FRUMENTO DURO,2024-07-20,10
FRUMENTO DURO,2024-07-04,10
ORZO,2024-07-04,1
FRUMENTO TENERO,2024-07-21,68
FRUMENTO TENERO,2024-07-06,31
FRUMENTO TENERO,2024-07-24,130
FRUMENTO DURO,2024-07-11,9
FRUMENTO DURO,2024-07-21,0
ORZO,2024-07-08,3
ORZO,2024-07-12,3
FRUMENTO TENERO,2024-07-18,68
COLZA,2024-06-13,1
MEDICA,2024-07-18,2
ORZO,2024-07-19,1
FRUMENTO TENERO,2024-07-20,9
FRUMENTO DURO,2024-07-10,3
